 w(nm)    Q    r-eff  ss-alb  pi(0) pi(1) pi(2) pi(3) pi(4) pi(5) pi(6) pi(7)
18 Mdust 0.8 = mineral dust 
  300  2.3457  0.800  0.640 1.000 2.517 3.780 4.729 5.755 6.524  7.339  7.903
  400  2.4344  0.800  0.763 1.000 2.295 3.320 3.800 4.578 4.913  5.482  5.662
  450  2.4813  0.800  0.820 1.000 2.201 3.150 3.449 4.142 4.316  4.795  4.845
  500  2.5311  0.800  0.864 1.000 2.129 3.023 3.191 3.809 3.868  4.263  4.226
  550  2.5841  0.800  0.906 1.000 2.065 2.911 2.965 3.513 3.476  3.796  3.692
  600  2.6416  0.800  0.936 1.000 2.023 2.830 2.805 3.279 3.178  3.418  3.275
 1000  3.0396  0.800  0.957 1.000 2.019 2.618 2.441 2.414 2.106  1.895  1.610
24 S70 Trop sulfate at RH=70 (n@400=1.36 log-norm: r=.07um/sigma=2.0)
  300  2.3816  0.241  1.0000  1.000 2.302 3.044 3.070 2.945 2.635 2.318 2.034
  400  1.9462  0.241  1.0000  1.000 2.310 2.986 2.964 2.743 2.371 1.998 1.673
  450  1.7511  0.241  1.0000  1.000 2.301 2.938 2.883 2.626 2.235 1.852 1.521
  500  1.5743  0.241  1.0000  1.000 2.287 2.887 2.799 2.512 2.105 1.718 1.387
  550  1.4134  0.241  1.0000  1.000 2.272 2.836 2.717 2.405 1.988 1.599 1.272
  600  1.2726  0.241  1.0000  1.000 2.254 2.782 2.632 2.298 1.874 1.488 1.167
 1000  0.5840  0.241  1.0000  1.000 2.089 2.388 2.053 1.635 1.218 0.891 0.642
31 BC70 Black C, RH=70 (n@400=1.75-.46i log-norm: r=.01um/sigma=2.0)
  300  1.0643  0.039  0.3128  1.000 1.361 1.201 0.710 0.410 0.231 0.135 0.080
  400  0.7563  0.039  0.2672  1.000 1.189 1.018 0.514 0.262 0.131 0.069 0.037
  450  0.6477  0.039  0.2456  1.000 1.121 0.955 0.450 0.217 0.103 0.052 0.026
  500  0.5607  0.039  0.2257  1.000 1.060 0.905 0.399 0.183 0.083 0.040 0.019
  550  0.4864  0.039  0.2087  1.000 1.009 0.864 0.358 0.157 0.067 0.031 0.014
  600  0.4289  0.039  0.1920  1.000 0.961 0.828 0.324 0.135 0.056 0.024 0.011
 1000  0.2166  0.039  0.0964  1.000 0.672 0.661 0.167 0.048 0.013 0.003 0.001
38 OC70 Organic C, RH=70 (n@400=1.42-.002i log-norm: r=.03um/sigma=2.0)
  300  1.1602  0.095  0.9771  1.000 2.095 2.408 2.079 1.675 1.258 0.928 0.680
  400  0.7380  0.095  0.9843  1.000 1.998 2.194 1.783 1.354 0.959 0.671 0.464
  450  0.5970  0.095  0.9834  1.000 1.950 2.098 1.657 1.226 0.846 0.579 0.391
  500  0.4891  0.095  0.9823  1.000 1.901 2.007 1.541 1.112 0.749 0.502 0.332
  550  0.4048  0.095  0.9775  1.000 1.853 1.923 1.437 1.012 0.667 0.439 0.284
  600  0.3373  0.095  0.9759  1.000 1.805 1.845 1.342 0.924 0.596 0.385 0.245
 1000  0.1047  0.095  0.8982  1.000 1.470 1.390 0.834 0.490 0.275 0.159 0.090
45 SSa70 Sea Salt (accum), RH=70 (n@400=1.37 log-norm: r=.38um/sigma=2.0)
  300  2.3305  1.324  1.0000  1.000 2.368 3.522 3.911 4.518 4.845 5.290 5.712
  400  2.4328  1.324  1.0000  1.000 2.347 3.450 3.796 4.289 4.526 4.828 5.109
  450  2.4802  1.324  1.0000  1.000 2.339 3.417 3.739 4.185 4.375 4.619 4.838
  500  2.5241  1.324  1.0000  1.000 2.336 3.393 3.698 4.096 4.244 4.430 4.593
  550  2.5628  1.324  1.0000  1.000 2.336 3.374 3.666 4.020 4.129 4.262 4.373
  600  2.5958  1.324  1.0000  1.000 2.338 3.359 3.640 3.953 4.027 4.111 4.175
 1000  2.6449  1.324  0.9996  1.000 2.364 3.287 3.502 3.588 3.456 3.284 3.107
10 W_C08 = water cloud (C1/Deirm.) (n=1.335, gamma:  r-mode=8.0um / alpha=6)
  300  2.0539  12.00  1.0000  1.000 2.619 4.013 4.798 5.476 6.232 6.870 7.780
  400  2.0643  12.00  1.0000  1.000 2.611 3.999 4.773 5.451 6.194 6.826 7.716
  450  2.0743  12.00  1.0000  1.000 2.611 3.999 4.773 5.451 6.194 6.826 7.716
  500  2.0800  12.00  1.0000  1.000 2.611 3.999 4.773 5.451 6.194 6.826 7.716
  550  2.0843  12.00  1.0000  1.000 2.589 3.965 4.712 5.394 6.121 6.744 7.599
  600  2.0883  12.00  1.0000  1.000 2.589 3.965 4.712 5.394 6.121 6.744 7.599
  999  2.1236  12.00  1.0000  1.000 2.563 3.917 4.625 5.302 5.992 6.593 7.385

